
0
0.412,0.412,1.763,1.000
0.409,0.375,1.823,1.000
0.416,0.138,1.840,1.000
0.422,0.000,1.849,1.000
0.338,0.217,1.787,1.000
0.284,0.400,1.738,0.500
0.247,0.567,1.658,0.500
0.247,0.592,1.651,0.500
0.500,0.221,1.857,1.000
0.538,0.396,1.787,1.000
0.544,0.546,1.662,1.000
0.547,0.567,1.630,1.000
0.372,0.463,1.727,1.000
0.331,0.725,1.611,1.000
0.300,0.925,1.514,1.000
0.294,0.975,1.414,1.000
0.447,0.463,1.768,1.000
0.444,0.729,1.780,1.000
0.431,0.933,1.786,1.000
0.434,0.996,1.699,1.000

0.000,0.000,0.000,0.968
0.979,0.201,0.201,-0.032
0.978,0.201,0.201,-0.028
0.707,0.000,0.000,-0.023
0.952,0.181,0.181,-0.097
0.686,0.000,0.000,-0.156
-0.022,0.946,0.946,0.105
0.701,0.000,0.000,-0.090
0.955,0.205,0.205,-0.203
0.665,0.000,0.000,-0.241
0.006,0.884,0.884,-0.018
0.623,0.000,0.000,-0.333
0.939,0.212,0.212,-0.181
0.688,0.000,0.000,-0.157
0.873,0.019,0.019,-0.198
0.688,-0.020,-0.020,0.162
0.968,0.250,0.250,0.022
0.707,0.000,0.000,0.012
0.957,0.033,0.033,0.017
0.673,0.011,0.011,0.215

0
0.412,0.412,1.766,1.000
0.409,0.375,1.825,1.000
0.416,0.138,1.842,1.000
0.422,0.000,1.850,0.500
0.338,0.217,1.790,1.000
0.281,0.400,1.742,0.500
0.241,0.563,1.661,0.500
0.241,0.587,1.654,0.500
0.500,0.221,1.860,1.000
0.538,0.392,1.796,1.000
0.550,0.542,1.672,1.000
0.553,0.567,1.646,1.000
0.372,0.463,1.730,1.000
0.334,0.725,1.614,1.000
0.300,0.925,1.518,1.000
0.294,0.975,1.418,1.000
0.450,0.463,1.771,1.000
0.444,0.729,1.781,1.000
0.431,0.933,1.786,1.000
0.434,0.996,1.698,1.000

0.000,0.000,0.000,0.971
0.979,0.202,0.202,-0.032
0.979,0.202,0.202,-0.025
0.707,0.000,0.000,-0.021
0.950,0.181,0.181,-0.093
0.684,0.000,0.000,-0.159
-0.025,0.943,0.943,0.116
0.700,0.000,0.000,-0.100
0.956,0.207,0.207,-0.194
0.665,0.000,0.000,-0.238
0.011,0.886,0.886,-0.036
0.649,0.000,0.000,-0.280
0.943,0.204,0.204,-0.183
0.688,0.000,0.000,-0.155
0.874,0.024,0.024,-0.196
0.688,-0.020,-0.020,0.162
0.970,0.241,0.241,0.021
0.707,0.000,0.000,0.010
